X;CountryCode;RegionCode;missingH12
Switzerland;CHE;NEN;NEU
Syrian Arab Republic;SYR;MEA;rest
Taiwan, Province of China;TWN;CHA;rest
Tajikistan;TJK;REF;rest
Tanzania, United Republic of;TZA;SSA;rest
Thailand;THA;OAS;rest
Timor-Leste;TLS;OAS;rest
Togo;TGO;SSA;rest
Tokelau;TKL;OAS;rest
Tonga;TON;OAS;rest
Trinidad and Tobago;TTO;LAM;rest
Tunisia;TUN;MEA;rest
Turkey;TUR;NES;NEU
Turkmenistan;TKM;REF;rest
Turks and Caicos Islands;TCA;LAM;rest
Tuvalu;TUV;OAS;rest
Uganda;UGA;SSA;rest
Ukraine;UKR;REF;rest
United Arab Emirates;ARE;MEA;rest
United Kingdom;GBR;UKI;EUR
United States;USA;USA;rest
United States Minor Outlying Islands;UMI;OAS;rest
Uruguay;URY;LAM;rest
Uzbekistan;UZB;REF;rest
Vanuatu;VUT;OAS;rest
Venezuela, Bolivarian Republic of;VEN;LAM;rest
Viet Nam;VNM;OAS;rest
Virgin Islands, British;VGB;LAM;rest
Virgin Islands, U.S.;VIR;LAM;rest
Wallis and Futuna;WLF;OAS;rest
Western Sahara;ESH;MEA;rest
Yemen;YEM;MEA;rest
Zambia;ZMB;SSA;rest
Zimbabwe;ZWE;SSA;rest
