title;start;CES_parameters;optimization;slurmConfig;regionmapping;extramappings_historic;c_changeProdCost;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;c_budgetCO2from2020;carbonprice;cm_co2_tax_2020;cm_peakBudgYr;cm_CO2priceRegConvEndYr;cm_emiscen;cm_frac_NetNegEmi;CDR;cm_33DAC;cm_33EW;cm_33OAE;c_regi_earlyreti_rate;c_tech_earlyreti_rate;cm_fetaxscen;cm_co2_tax_growth;cm_bioenergy_SustTax;cm_maxProdBiolc;c_ccsinjecratescen;c_ccscapratescen;cm_CESMkup_build;cm_CESMkup_ind;techpol;regipol;cm_implicitQttyTarget;cm_loadFromGDX_implicitQttyTargetTax;cm_emiMktTarget;cm_NucRegiPol;cm_CoalRegiPol;cm_altFeEmiFac;cm_POPscen;cm_GDPscen;cm_demScen;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;cm_nucscen;cm_so2tax_scen;cm_multigasscen;cm_LU_emi_scen;cm_tradecostBio;cm_1stgen_phaseout;c_SSP_forcing_adjust;cm_APscen;water;cm_EDGEtr_scen;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau;path_gdx_carbonprice;path_gdx_refpolicycost;description
RESCUE-dir-v2p0-PkBudg500-OAE_off;1;;;;;;;rcp20;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;;9;1;portfolio;1;0;0;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;;;SSP2EU-PkBudg500: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 500 Gt?CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5??C scenario, peak warming is allowed to be at or slightly above 1.5??C, at median climate sensitivity but returns to values below 1.5??C in at least 67?% of scenarios by the end of the century.
RESCUE-dir-v2p0-PkBudg1150-OAE_off;1;;;;;;;rcp26;9;globallyOptimal;1150;diffCurvPhaseIn2Lin;60;2100;;9;1;portfolio;1;0;0;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix3;2025;;SSP2EU-NPi;SSP2EU-Base;;;SSP2EU-PkBudg1150: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 1150 Gt?CO2 on total CO2 emissions from 2015 to 2100. This is a weel below 2??C scenario, peak warming is allowed to be at or slightly above 2??C, at median climate sensitivity but returns to values below 2??C in at least 67?% of scenarios by the end of the century.
__Dir_PkBudg_OAE_on__;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RESCUE-dir-v2p0-PkBudg500-OAE_on;1;;;;;;;rcp20;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;;9;1;portfolio;1;0;1;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;;;SSP2EU-PkBudg500: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 500 Gt?CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5??C scenario, peak warming is allowed to be at or slightly above 1.5??C, at median climate sensitivity but returns to values below 1.5??C in at least 67?% of scenarios by the end of the century.
RESCUE-dir-v2p0-PkBudg1150-OAE_on;1;;;;;;;rcp26;9;globallyOptimal;1150;diffCurvPhaseIn2Lin;60;2100;;9;1;portfolio;1;0;1;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix3;2025;;SSP2EU-NPi;SSP2EU-Base;;;SSP2EU-PkBudg1150: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 1150 Gt?CO2 on total CO2 emissions from 2015 to 2100. This is a weel below 2??C scenario, peak warming is allowed to be at or slightly above 2??C, at median climate sensitivity but returns to values below 2??C in at least 67?% of scenarios by the end of the century.
__Dir_EocBudg_OAE_off__;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RESCUE-dir-v2p0-EoCBudg500-OAE_off;1;;;;;;;rcp20;5;globallyOptimal;500;exponential;30;2080;;9;0;portfolio;1;0;0;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2035;;SSP2EU-NPi;SSP2EU-Base;;;SSP2EU-PkBudg500: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 500 Gt?CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5??C scenario, peak warming is allowed to be at or slightly above 1.5??C, at median climate sensitivity but returns to values below 1.5??C in at least 67?% of scenarios by the end of the century.
RESCUE-dir-v2p0-EoCBudg1150-OAE_off;1;;;;;;;rcp26;5;globallyOptimal;1150;exponential;20;2100;;9;0;portfolio;1;0;0;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix3;2035;;SSP2EU-NPi;SSP2EU-Base;;;SSP2EU-PkBudg1150: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 1150 Gt?CO2 on total CO2 emissions from 2015 to 2100. This is a weel below 2??C scenario, peak warming is allowed to be at or slightly above 2??C, at median climate sensitivity but returns to values below 2??C in at least 67?% of scenarios by the end of the century.
__Dir_EocBudg_OAE_on__;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RESCUE-dir-v2p0-EoCBudg500-OAE_on;1;;;;;;;rcp20;5;globallyOptimal;500;exponential;30;2080;;9;0;portfolio;1;0;1;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2035;;SSP2EU-NPi;SSP2EU-Base;;;SSP2EU-PkBudg500: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 500 Gt?CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5??C scenario, peak warming is allowed to be at or slightly above 1.5??C, at median climate sensitivity but returns to values below 1.5??C in at least 67?% of scenarios by the end of the century.
RESCUE-dir-v2p0-EoCBudg1150-OAE_on;1;;;;;;;rcp26;5;globallyOptimal;1150;exponential;20;2100;;9;0;portfolio;1;0;1;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix3;2035;;SSP2EU-NPi;SSP2EU-Base;;;SSP2EU-PkBudg1150: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 1150 Gt?CO2 on total CO2 emissions from 2015 to 2100. This is a weel below 2??C scenario, peak warming is allowed to be at or slightly above 2??C, at median climate sensitivity but returns to values below 2??C in at least 67?% of scenarios by the end of the century.
_RESCUE_scenarios_for_extension_until_2300;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
__PkBudg_OAE_off__;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RESCUE-ext-v2p0-PkBudg_cp0400-OAE_off;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;1;portfolio;1;0;0;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg0400_2022-10-13_09.54.32/fulldata.gdx;;"exogenous carbon price from a PkBudg400 run; OAE off"
RESCUE-ext-v2p0-PkBudg_cp0450-OAE_off;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;1;portfolio;1;0;0;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg0450_2022-10-13_09.55.10/fulldata.gdx;;"exogenous carbon price from a PkBudg450 run; OAE off"
RESCUE-ext-v2p0-PkBudg_cp0500-OAE_off;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;1;portfolio;1;0;0;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg0500_2022-10-10_21.20.17/fulldata.gdx;;"exogenous carbon price from a PkBudg500 run; OAE off"
RESCUE-ext-v2p0-PkBudg_cp0600-OAE_off;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;1;portfolio;1;0;0;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg0600_2022-10-11_09.32.56/fulldata.gdx;;"exogenous carbon price from a PkBudg600 run; OAE off"
RESCUE-ext-v2p0-PkBudg_cp0750-OAE_off;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;1;portfolio;1;0;0;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg0750_2022-10-11_09.33.17/fulldata.gdx;;"exogenous carbon price from a PkBudg750 run; OAE off"
RESCUE-ext-v2p0-PkBudg_cp1000-OAE_off;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;1;portfolio;1;0;0;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg1000_2022-10-10_21.23.15/fulldata.gdx;;"exogenous carbon price from a PkBudg1000 run; OAE off"
RESCUE-ext-v2p0-PkBudg_cp1300-OAE_off;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;1;portfolio;1;0;0;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg1300_2022-10-10_21.24.47/fulldata.gdx;;"exogenous carbon price from a PkBudg1300 run; OAE off"
RESCUE-ext-v2p0-PkBudg_cp1700-OAE_off;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;1;portfolio;1;0;0;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg1700_2022-10-10_21.25.59/fulldata.gdx;;"exogenous carbon price from a PkBudg1700 run; OAE off"
RESCUE-ext-v2p0-PkBudg_cp2300-OAE_off;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;1;portfolio;1;0;0;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg2300_2022-10-10_21.26.37/fulldata.gdx;;"exogenous carbon price from a PkBudg2300 run; OAE off"
__PkBudg_OAE_on__;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RESCUE-ext-v2p0-PkBudg_cp0400-OAE_on;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;1;portfolio;1;0;1;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg0400_2022-10-13_09.54.32/fulldata.gdx;;"exogenous carbon price from a PkBudg400 run; OAE on"
RESCUE-ext-v2p0-PkBudg_cp0450-OAE_on;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;1;portfolio;1;0;1;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg0450_2022-10-13_09.55.10/fulldata.gdx;;"exogenous carbon price from a PkBudg450 run; OAE on"
RESCUE-ext-v2p0-PkBudg_cp0500-OAE_on;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;1;portfolio;1;0;1;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg0500_2022-10-10_21.20.17/fulldata.gdx;;"exogenous carbon price from a PkBudg500 run; OAE on"
RESCUE-ext-v2p0-PkBudg_cp0600-OAE_on;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;1;portfolio;1;0;1;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg0600_2022-10-11_09.32.56/fulldata.gdx;;"exogenous carbon price from a PkBudg600 run; OAE on"
RESCUE-ext-v2p0-PkBudg_cp0750-OAE_on;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;1;portfolio;1;0;1;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg0750_2022-10-11_09.33.17/fulldata.gdx;;"exogenous carbon price from a PkBudg750 run; OAE on"
RESCUE-ext-v2p0-PkBudg_cp1000-OAE_on;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;1;portfolio;1;0;1;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg1000_2022-10-10_21.23.15/fulldata.gdx;;"exogenous carbon price from a PkBudg1000 run; OAE on"
RESCUE-ext-v2p0-PkBudg_cp1300-OAE_on;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;1;portfolio;1;0;1;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg1300_2022-10-10_21.24.47/fulldata.gdx;;"exogenous carbon price from a PkBudg1300 run; OAE on"
RESCUE-ext-v2p0-PkBudg_cp1700-OAE_on;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;1;portfolio;1;0;1;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg1700_2022-10-10_21.25.59/fulldata.gdx;;"exogenous carbon price from a PkBudg1700 run; OAE on"
RESCUE-ext-v2p0-PkBudg_cp2300-OAE_on;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;1;portfolio;1;0;1;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg2300_2022-10-10_21.26.37/fulldata.gdx;;"exogenous carbon price from a PkBudg2300 run; OAE on"
__EocBudg_OAE_off__;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RESCUE-ext-v2p0-EocBudg_cp0400-OAE_off;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;0;portfolio;1;0;0;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg0400_2022-10-13_09.54.32/fulldata.gdx;;"exogenous carbon price from a EocBudg400 run; OAE off"
RESCUE-ext-v2p0-EocBudg_cp0450-OAE_off;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;0;portfolio;1;0;0;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg0450_2022-10-13_09.55.10/fulldata.gdx;;"exogenous carbon price from a EocBudg450 run; OAE off"
RESCUE-ext-v2p0-EocBudg_cp0500-OAE_off;1;;;;;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;0;portfolio;1;0;0;;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;on;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;;SSP2EU-NPi;SSP2EU-Base;/p/projects/dipol/paperLandMatters/v3/rem_standalone/remind_derive_carbon_price_paths/output/SSP2EU-PkBudg0500_2022-10-10_21.20.17/fulldata.gdx;;"exogenous carbon price from a EocBudg500 run; OAE off"
