X;CountryCode;RegionCode;missingH12
Saint Kitts and Nevis;KNA;LAM;
Saint Lucia;LCA;LAM;
Saint Martin (French part);MAF;LAM;
Saint Pierre and Miquelon;SPM;CAZ;
Saint Vincent and the Grenadines;VCT;LAM;
Samoa;WSM;OAS;
San Marino;SMR;NES;NEU
Sao Tome and Principe;STP;SSA;
Saudi Arabia;SAU;MEA;
Senegal;SEN;SSA;
Serbia;SRB;NES;NEU
Seychelles;SYC;SSA;
Sierra Leone;SLE;SSA;
Singapore;SGP;OAS;
Sint Maarten (Dutch part);SXM;LAM;
Slovakia;SVK;ECE;EUR
Slovenia;SVN;ECS;EUR
Solomon Islands;SLB;OAS;
Somalia;SOM;SSA;
South Africa;ZAF;SSA;
South Georgia and the South Sandwich Islands;SGS;LAM;
South Sudan;SSD;SSA;
Spain;ESP;ESW;EUR
Sri Lanka;LKA;OAS;
Sudan;SDN;MEA;
Suriname;SUR;LAM;
Svalbard and Jan Mayen;SJM;NEN;NEU
Swaziland;SWZ;SSA;
Sweden;SWE;ENC;EUR
Switzerland;CHE;NEN;NEU
Syrian Arab Republic;SYR;MEA;
Taiwan, Province of China;TWN;CHA;
Tajikistan;TJK;REF;
Tanzania, United Republic of;TZA;SSA;
Thailand;THA;OAS;
Timor-Leste;TLS;OAS;
Togo;TGO;SSA;
Tokelau;TKL;OAS;
Tonga;TON;OAS;
Trinidad and Tobago;TTO;LAM;
Tunisia;TUN;MEA;
Turkey;TUR;NES;NEU
Turkmenistan;TKM;REF;
Turks and Caicos Islands;TCA;LAM;
Tuvalu;TUV;OAS;
Uganda;UGA;SSA;
Ukraine;UKR;REF;
United Arab Emirates;ARE;MEA;
United Kingdom;GBR;UKI;EUR
United States;USA;USA;
United States Minor Outlying Islands;UMI;OAS;
Uruguay;URY;LAM;
Uzbekistan;UZB;REF;
Vanuatu;VUT;OAS;
Venezuela, Bolivarian Republic of;VEN;LAM;
Viet Nam;VNM;OAS;
Virgin Islands, British;VGB;LAM;
Virgin Islands, U.S.;VIR;LAM;
Wallis and Futuna;WLF;OAS;
Western Sahara;ESH;MEA;
Yemen;YEM;MEA;
Zambia;ZMB;SSA;
Zimbabwe;ZWE;SSA;
