X;CountryCode;RegionCode
Pakistan;PAK;OAS
Panama;PAN;LAM
Pitcairn;PCN;OAS
Peru;PER;LAM
Philippines;PHL;OAS
Palau;PLW;OAS
Papua New Guinea;PNG;OAS
Poland;POL;EUR
Puerto Rico;PRI;USA
Korea, Democratic People's Republic of;PRK;OAS
Portugal;PRT;EUR
Paraguay;PRY;LAM
Palestine, State of;PSE;MEA
French Polynesia;PYF;OAS
Qatar;QAT;MEA
Reunion;REU;AFR
Romania;ROU;EUR
Russian Federation;RUS;RUS
Rwanda;RWA;AFR
Saudi Arabia;SAU;MEA
Sudan;SDN;AFR
Senegal;SEN;AFR
Singapore;SGP;OAS
South Georgia and the South Sandwich Islands;SGS;ROW
Saint Helena, Ascension and Tristan da Cunha;SHN;AFR
Svalbard and Jan Mayen;SJM;ROW
Solomon Islands;SLB;OAS
Sierra Leone;SLE;AFR
El Salvador;SLV;LAM
San Marino;SMR;ROW
Somalia;SOM;AFR
Saint Pierre and Miquelon;SPM;ROW
Serbia;SRB;ROW
South Sudan;SSD;AFR
Sao Tome and Principe;STP;AFR
Suriname;SUR;LAM
Slovakia;SVK;EUR
Slovenia;SVN;EUR
Sweden;SWE;EUR
Swaziland;SWZ;AFR
Sint Maarten (Dutch part);SXM;LAM
Seychelles;SYC;AFR
Syrian Arab Republic;SYR;MEA
Turks and Caicos Islands;TCA;LAM
Chad;TCD;AFR
Togo;TGO;AFR
Thailand;THA;OAS
Tajikistan;TJK;MEA
Tokelau;TKL;OAS
Turkmenistan;TKM;MEA
Timor-Leste;TLS;OAS
Tonga;TON;OAS
Trinidad and Tobago;TTO;LAM
Tunisia;TUN;MEA
Turkey;TUR;ROW
Tuvalu;TUV;OAS
Taiwan, Province of China;TWN;OAS
Tanzania, United Republic of;TZA;AFR
Uganda;UGA;AFR
Ukraine;UKR;ROW
United States Minor Outlying Islands;UMI;OAS
Uruguay;URY;LAM
United States;USA;USA
Uzbekistan;UZB;MEA
Holy See (Vatican City State);VAT;ROW
Saint Vincent and the Grenadines;VCT;LAM
Venezuela, Bolivarian Republic of;VEN;LAM
Virgin Islands, British;VGB;LAM
Virgin Islands, U.S.;VIR;LAM
Viet Nam;VNM;OAS
Vanuatu;VUT;OAS
Wallis and Futuna;WLF;OAS
Samoa;WSM;OAS
Yemen;YEM;MEA
South Africa;ZAF;ROW
Zambia;ZMB;AFR
Zimbabwe;ZWE;AFR
