X;CountryCode;RegionCode
Guinea-Bissau;GNB;SSA
Guyana;GUY;LAM
Haiti;HTI;LAM
Heard Island and McDonald Islands;HMD;CAZ
Holy See (Vatican City State);VAT;ROE
Honduras;HND;LAM
Hong Kong;HKG;CHA
Hungary;HUN;ESE
Iceland;ISL;ENN
India;IND;IND
Indonesia;IDN;OAS
Iran, Islamic Republic of;IRN;MEA
Iraq;IRQ;MEA
Ireland;IRL;UKI
Isle of Man;IMN;UKI
Israel;ISR;MEA
Italy;ITA;ESC
Jamaica;JAM;LAM
Japan;JPN;JPN
Jersey;JEY;UKI
Jordan;JOR;MEA
Kazakhstan;KAZ;REF
Kenya;KEN;SSA
Kiribati;KIR;OAS
Korea, Democratic People's Republic of;PRK;OAS
Korea, Republic of;KOR;OAS
Kuwait;KWT;MEA
Kyrgyzstan;KGZ;REF
Lao People's Democratic Republic;LAO;OAS
Latvia;LVA;ECE
Lebanon;LBN;MEA
Lesotho;LSO;SSA
Liberia;LBR;SSA
Libya;LBY;MEA
Liechtenstein;LIE;ROE
Lithuania;LTU;ECE
Luxembourg;LUX;EWN
Macao;MAC;CHA
Macedonia, the former Yugoslav Republic of;MKD;ROE
Madagascar;MDG;SSA
Malawi;MWI;SSA
Malaysia;MYS;OAS
Maldives;MDV;OAS
Mali;MLI;SSA
Malta;MLT;ESC
Marshall Islands;MHL;OAS
Martinique;MTQ;LAM
Mauritania;MRT;SSA
Mauritius;MUS;SSA
Mayotte;MYT;SSA
Mexico;MEX;LAM
Micronesia, Federated States of;FSM;OAS
Moldova, Republic of;MDA;REF
Monaco;MCO;ROE
Mongolia;MNG;OAS
Montenegro;MNE;ROE
Montserrat;MSR;LAM
Morocco;MAR;MEA
Mozambique;MOZ;SSA
Myanmar;MMR;OAS
Namibia;NAM;SSA
Nauru;NRU;OAS
Nepal;NPL;OAS
Netherlands;NLD;EWN
New Caledonia;NCL;OAS
New Zealand;NZL;CAZ
Nicaragua;NIC;LAM
Niger;NER;SSA
Nigeria;NGA;SSA
Niue;NIU;OAS
Norfolk Island;NFK;OAS
Northern Mariana Islands;MNP;OAS
Norway;NOR;ENN
Oman;OMN;MEA
Pakistan;PAK;OAS
Palau;PLW;OAS
Palestine, State of;PSE;MEA
Panama;PAN;LAM
Papua New Guinea;PNG;OAS
Paraguay;PRY;LAM
Peru;PER;LAM
Philippines;PHL;OAS
Pitcairn;PCN;OAS
Poland;POL;ECE
Portugal;PRT;EUI
Puerto Rico;PRI;LAM
Qatar;QAT;MEA
Reunion;REU;SSA
Romania;ROU;ESE
Russian Federation;RUS;REF
Rwanda;RWA;SSA
Saint Barthelemy;BLM;LAM
Saint Helena, Ascension and Tristan da Cunha;SHN;SSA
Saint Kitts and Nevis;KNA;LAM
Saint Lucia;LCA;LAM
Saint Martin (French part);MAF;LAM
Saint Pierre and Miquelon;SPM;CAZ
Saint Vincent and the Grenadines;VCT;LAM
Samoa;WSM;OAS
San Marino;SMR;ROE
Sao Tome and Principe;STP;SSA
Saudi Arabia;SAU;MEA
Senegal;SEN;SSA
Serbia;SRB;ROE
Seychelles;SYC;SSA
Sierra Leone;SLE;SSA
Singapore;SGP;OAS
Sint Maarten (Dutch part);SXM;LAM
Slovakia;SVK;ECE
Slovenia;SVN;ESE
Solomon Islands;SLB;OAS
Somalia;SOM;SSA
South Africa;ZAF;SSA
South Georgia and the South Sandwich Islands;SGS;LAM
South Sudan;SSD;SSA
Spain;ESP;EUI
Sri Lanka;LKA;OAS
Sudan;SDN;MEA
Suriname;SUR;LAM
Svalbard and Jan Mayen;SJM;ROE
Swaziland;SWZ;SSA
Sweden;SWE;EUN
Switzerland;CHE;CHE
Syrian Arab Republic;SYR;MEA
Taiwan, Province of China;TWN;CHA
Tajikistan;TJK;REF
Tanzania, United Republic of;TZA;SSA
Thailand;THA;OAS
Timor-Leste;TLS;OAS
Togo;TGO;SSA
Tokelau;TKL;OAS
Tonga;TON;OAS
Trinidad and Tobago;TTO;LAM
Tunisia;TUN;MEA
Turkey;TUR;ROE
Turkmenistan;TKM;REF
Turks and Caicos Islands;TCA;LAM
Tuvalu;TUV;OAS
Uganda;UGA;SSA
Ukraine;UKR;REF
United Arab Emirates;ARE;MEA
United Kingdom;GBR;UKI
United States;USA;USA
United States Minor Outlying Islands;UMI;OAS
Uruguay;URY;LAM
Uzbekistan;UZB;REF
Vanuatu;VUT;OAS
Venezuela, Bolivarian Republic of;VEN;LAM
Viet Nam;VNM;OAS
Virgin Islands, British;VGB;LAM
Virgin Islands, U.S.;VIR;LAM
Wallis and Futuna;WLF;OAS
Western Sahara;ESH;MEA
Yemen;YEM;MEA
Zambia;ZMB;SSA
Zimbabwe;ZWE;SSA
