title;start;CES_parameters;cm_nash_mode;optimization;CDR;cm_33DAC;cm_33EW;cm_33OAE;slurmConfig;cm_EDGEtr_scen;cm_demScen;cm_bioenergy_tax;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;c_regi_earlyreti_rate;c_tech_earlyreti_rate;c_budgetCO2from2020;carbonprice;cm_co2_tax_2020;cm_peakBudgYr;cm_taxCO2inc_after_peakBudgYr;cm_CO2priceRegConvEndYr;cm_emiscen;cm_fetaxscen;cm_co2_tax_growth;cm_bioenergymaxscen;c_ccsinjecratescen;c_ccscapratescen;techpol;cm_POPscen;cm_GDPscen;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;cm_nucscen;cm_so2tax_scen;cm_multigasscen;cm_OILRETIRE;cm_LU_emi_scen;cm_tradecost_bio;cm_1stgen_phaseout;c_SSP_forcing_adjust;cm_APscen;water;cm_cooling_shares;cm_startyear;output;path_gdx;path_gdx_ref;path_gdx_bau
portfolio-SSP2EU-AMT-PkBudg500-DAC-after-weathering;0;load;;nash;portfolio;1;0;;5;Mix4;gdp_SSP2EU;1.5;rcp26;9;globallyOptimal;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;500;diffCurvPhaseIn2Lin;100;2080;3;2050;9;3;1.05;0;1;1;NDC;pop_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;2025;reporting,reportCEScalib,rds_report;;portfolio-SSP2EU-AMT-NDC-weathering;/p/projects/remind/modeltests/output/SSP2EU-AMT-Base_2022-12-10_00.07.58/fulldata.gdx
testOneRegi-AMT-Base-late-weathering;0;load;debug;testOneRegi;weathering;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025;reporting,reportCEScalib,rds_report;;/p/tmp/katarkow/dev_remind/output/dev-EW-late-DAC-SSP2EU-AMT-PkBudg670_2022-06-16_02.17.45/fulldata.gdx;/p/tmp/katarkow/dev_remind/output/dev-EW-late-DAC-SSP2EU-AMT-PkBudg670_2022-06-16_02.17.45/fulldata.gdx
SSP2EU-AMT-Base;0;load;;nash;DAC;;;;5;Mix1;gdp_SSP2EU;1.5;none;0;off;GLO 0.09, EUR_regi 0.15;off;0;none;-1;2100;3;2050;1;3;1.05;0;1;1;none;pop_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;2;off;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;2005;reporting,reportCEScalib,rds_report;;;
SSP2EU-AMT-NDC;0;load;;nash;DAC;;;;5;Mix2;gdp_SSP2EU;1.5;rcp45;3;globallyOptimal;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;0;NDC;1;2100;3;2050;9;3;1.05;0;1;1;NDC;pop_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;2015;reporting,reportCEScalib,rds_report;;/p/projects/remind/modeltests/output/SSP2EU-AMT-Base_2022-12-10_00.07.58/fulldata.gdx;/p/projects/remind/modeltests/output/SSP2EU-AMT-Base_2022-12-10_00.07.58/fulldata.gdx
SSP2EU-AMT-NDC-weathering;0;load;;nash;weathering;;;;5;Mix2;gdp_SSP2EU;1.5;rcp45;3;globallyOptimal;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;0;NDC;1;2100;3;2050;9;3;1.05;0;1;1;NDC;pop_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;2015;reporting,reportCEScalib,rds_report;;/p/projects/remind/modeltests/output/SSP2EU-AMT-NDC_2022-12-03_04.53.30/fulldata.gdx;/p/projects/remind/modeltests/output/SSP2EU-AMT-Base_2022-12-10_00.07.58/fulldata.gdx
SSP2EU-AMT-PkBudg500-all-bounded;0;load;;nash;all;;;;5;Mix4;gdp_SSP2EU;1.5;rcp26;9;globallyOptimal;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;500;diffCurvPhaseIn2Lin;100;2080;3;2050;9;3;1.05;0;1;1;NDC;pop_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;2025;reporting,reportCEScalib,rds_report;;/p/projects/remind/modeltests/output/SSP2EU-AMT-NDC_2022-12-03_04.53.30/fulldata.gdx;/p/projects/remind/modeltests/output/SSP2EU-AMT-Base_2022-12-10_00.07.58/fulldata.gdx
SSP2EU-AMT-PkBudg500-DAC;0;load;;nash;DAC;;;;5;Mix4;gdp_SSP2EU;1.5;rcp26;9;globallyOptimal;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;500;diffCurvPhaseIn2Lin;100;2080;3;2050;9;3;1.05;0;1;1;NDC;pop_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;2025;reporting,reportCEScalib,rds_report;;/p/projects/remind/modeltests/output/SSP2EU-AMT-NDC_2022-12-03_04.53.30/fulldata.gdx;/p/projects/remind/modeltests/output/SSP2EU-AMT-Base_2022-12-10_00.07.58/fulldata.gdx
SSP2EU-AMT-PkBudg500-weathering-bounded;0;load;;nash;weathering;;;;5;Mix4;gdp_SSP2EU;1.5;rcp26;9;globallyOptimal;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;500;diffCurvPhaseIn2Lin;100;2080;3;2050;9;3;1.05;0;1;1;NDC;pop_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;2025;reporting,reportCEScalib,rds_report;;/p/projects/remind/modeltests/output/SSP2EU-AMT-NDC_2022-12-03_04.53.30/fulldata.gdx;/p/projects/remind/modeltests/output/SSP2EU-AMT-Base_2022-12-10_00.07.58/fulldata.gdx
SSP2EU-AMT-PkBudg500-DAC-after-weathering;0;load;;nash;DAC;;;;5;Mix4;gdp_SSP2EU;1.5;rcp26;9;globallyOptimal;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;500;diffCurvPhaseIn2Lin;100;2080;3;2050;9;3;1.05;0;1;1;NDC;pop_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;2025;reporting,reportCEScalib,rds_report;;SSP2EU-AMT-NDC-weathering;/p/projects/remind/modeltests/output/SSP2EU-AMT-Base_2022-12-10_00.07.58/fulldata.gdx
SSP2EU-AMT-PkBudg1320;0;load;;nash;;;;;5;Mix3;gdp_SSP2EU;1.5;rcp26;9;globallyOptimal;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;1320;diffCurvPhaseIn2Lin;60;2100;3;2050;9;3;1.05;0;1;1;NDC;pop_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;2025;reporting,reportCEScalib,rds_report;;SSP2EU-AMT-Base;SSP2EU-AMT-Base
SSP2EU-AMT-PkBudg670-weathering-after-DAC;0;load;;nash;weathering;;;;5;Mix4;gdp_SSP2EU;1.5;rcp26;9;globallyOptimal;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;670;diffCurvPhaseIn2Lin;100;2080;3;2050;9;3;1.05;0;1;1;NDC;pop_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;2025;reporting,reportCEScalib,rds_report;;/p/tmp/katarkow/dev_remind/output/dev-DAC-SSP2EU-AMT-Base_2022-06-15_09.05.20/fulldata.gdx;/p/tmp/katarkow/dev_remind/output/dev-DAC-SSP2EU-AMT-Base_2022-06-15_09.05.20/fulldata.gdx
