title;start;optimization;c_testOneRegi_region;CES_parameters;slurmConfig;climate;downscaleTemperature;cm_magicc_calibrateTemperature2000;damages;cm_damage_KWSE;internalizeDamages;cm_magicc_config;cm_magicc_temperatureImpulseResponse;cm_damage_DiceLike_specification;cm_damages_BurkeLike_persistenceTime;cm_damages_BurkeLike_specification;cm_damages_SccHorizon;cm_VRE_supply_assumptions;c_CES_calibration_new_structure;buildings;transport;industry;cm_DiscRateScen;c_shBioTrans;cm_EDGEtr_scen;cm_reducCostB;cm_CES_calibration_default_prices;cm_CO2TaxSectorMarkup;c_ccsinjecratescen;c_ccsinjecrateRegi;.CDR;cm_bioenergy_tax;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;c_budgetCO2from2020;carbonprice;carbonpriceRegi;cm_NDC_version;cm_co2_tax_2020;cm_peakBudgYr;cm_taxCO2inc_after_peakBudgYr;cm_CO2priceRegConvEndYr;cm_emiscen;c_regi_earlyreti_rate;c_tech_earlyreti_rate;cm_fetaxscen;cm_co2_tax_growth;cm_bioenergymaxscen;c_ccscapratescen;techpol;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;cm_nucscen;cm_so2tax_scen;cm_multigasscen;cm_LU_emi_scen;cm_tradecost_bio;cm_1stgen_phaseout;c_SSP_forcing_adjust;cm_APscen;water;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau;description
SSP2-Base_d50_bIT;0;nash;EUR;load;;magicc;CMIP5;HADCRUT4;KWLike;0;off;RCP26_50;off;HowardNonCatastrophic;15;0;100;0;0;simple;edge_esm;subsectors;0;1;Mix1;none;0.01;;1;;off;1.5;none;0;off;0;none;none;;-1;2100;3;2050;1;;;3;1.05;0;1;none;medOil;medGas;medCoal;1;2;1;2;SSP2;2;0;forcing_SSP2;SSP2;heat;2005;;SSP2-Base_bIT;SSP2-Base_bIT;SSP2-Base_d50_bIT: This baseline scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. Industry sectors are modeled explicitly with individual CES nests for cement, chemicals, steel, and other production. The transport model EDGE-T with detailed modes/vehicles representation is used. A simple buildings model represents demand in terms of energy carriers. Damages from climate change are based on Kalkuhl and Wenz (2020) using the 50th percentile of RCP26.
SSP2-Base_d95_bIT;0;nash;EUR;load;;magicc;CMIP5;HADCRUT4;KWLike;0;off;RCP26_95;off;HowardNonCatastrophic;15;0;100;0;0;simple;edge_esm;subsectors;0;1;Mix1;none;0.01;;1;;off;1.5;none;0;off;0;none;none;;-1;2100;3;2050;1;;;3;1.05;0;1;none;medOil;medGas;medCoal;1;2;1;2;SSP2;2;0;forcing_SSP2;SSP2;heat;2005;;SSP2-Base_bIT;SSP2-Base_bIT;SSP2-Base_d95_bIT: This baseline scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. Industry sectors are modeled explicitly with individual CES nests for cement, chemicals, steel, and other production. The transport model EDGE-T with detailed modes/vehicles representation is used. A simple buildings model represents demand in terms of energy carriers. Damages from climate change are based on Kalkuhl and Wenz (2020) using the 95th percentile of RCP26.
SSP2-Base_d50high_bIT;d50high_bIT;nash;EUR;load;5;magicc;CMIP5;HADCRUT4;KW_SE;1.96;off;RCP26_50;off;HowardNonCatastrophic;15;0;100;0;0;simple;edge_esm;subsectors;0;1;Mix1;none;0.01;;1;;off;1.5;none;0;off;0;none;none;;-1;2100;3;2050;1;;;3;1.05;0;1;none;medOil;medGas;medCoal;1;2;1;2;SSP2;2;0;forcing_SSP2;SSP2;heat;2005;;SSP2-Base_bIT;SSP2-Base_bIT;SSP2-Base_d50_bIT: This baseline scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. Industry sectors are modeled explicitly with individual CES nests for cement, chemicals, steel, and other production. The transport model EDGE-T with detailed modes/vehicles representation is used. A simple buildings model represents demand in terms of energy carriers. Damages from climate change are based on Kalkuhl and Wenz (2020) using the 50th percentile of RCP26.
SSP2-Base_d95high_bIT;d95high_bIT;nash;EUR;load;5;magicc;CMIP5;HADCRUT4;KW_SE;1.96;off;RCP26_95;off;HowardNonCatastrophic;15;0;100;0;0;simple;edge_esm;subsectors;0;1;Mix1;none;0.01;;1;;off;1.5;none;0;off;0;none;none;;-1;2100;3;2050;1;;;3;1.05;0;1;none;medOil;medGas;medCoal;1;2;1;2;SSP2;2;0;forcing_SSP2;SSP2;heat;2005;;SSP2-Base_bIT;SSP2-Base_bIT;SSP2-Base_d95_bIT: This baseline scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. Industry sectors are modeled explicitly with individual CES nests for cement, chemicals, steel, and other production. The transport model EDGE-T with detailed modes/vehicles representation is used. A simple buildings model represents demand in terms of energy carriers. Damages from climate change are based on Kalkuhl and Wenz (2020) using the 95th percentile of RCP26.
# SSP2-Base_BIT;0;nash;EUR;load;;off;off;uncalibrated;off;0;off;RCP26_50;off;HowardNonCatastrophic;15;0;100;0;0;services_putty;edge_esm;subsectors;0;1;Mix1;none;0.01;;1;;off;1.5;none;0;off;0;none;none;;-1;2100;3;2050;1;;;3;1.05;0;1;none;medOil;medGas;medCoal;1;2;1;2;SSP2;2;0;forcing_SSP2;SSP2;heat;2005;;;;SSP2-Base_BIT: This baseline scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. Industry sectors are modeled explicitly with individual CES nests for cement, chemicals, steel, and other production. The transport model EDGE-T with detailed modes/vehicles representation is used. In the buildings sector, the demand by energy service is modeled with capital and with putty-clay for buildings insulation. No Damages from climate change are considered.
# ___NO_DAMAGES___;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ___ND_simple modules___;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# h_ndc;0;nash;USA;load;;off;off;uncalibrated;off;0;off;RCP26_50;off;HowardNonCatastrophic;30;0;100;0;0;simple;complex;fixed_shares;0;1;;none;0.1;;1;;off;1.5;rcp45;3;globallyOptimal;0;NDC;none;;1;2100;3;2050;9;;;3;1.05;1;1;NDC;medOil;medGas;medCoal;1;2;1;3;SSP2;2;0;forcing_SSP2;SSP2;heat;2015;;SSP2-Base;SSP2-Base;h_ndc: The Nationally Determined Contributions (NDCs) scenario includes all pledged policies even if not yet implemented. It assumes that the moderate and heterogeneous climate ambition reflected in the NDCs at the begining of 2021 continues over the 21st century (low transition risks). Emissions decline but lead nonetheless to about 2.5 K of warming associated with moderate to severe physical risks. Transition risks are relatively low. Industry sectors are modeled with fixed shares. A simple transport model based on LDV categories, electric trains and an aggregate category HDV is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.
# h_cpol;0;nash;EUR;load;;off;off;uncalibrated;off;0;off;RCP26_50;off;HowardNonCatastrophic;30;0;100;0;0;simple;complex;fixed_shares;0;1;;none;0.1;;1;;off;1.5;rcp45;3;off;0;NPi2018;none;;1;2100;3;2050;9;;;3;1.05;1;1;NPi2018;medOil;medGas;medCoal;1;2;1;3;SSP2;2;0;forcing_SSP2;SSP2;heat;2025;;h_ndc;SSP2-Base;h_cpol: The Current Policies scenario assumes that only currently implemented policies are preserved, leading to high physical risks. Emissions grow until 2080 leading to about 3 K of warming and severe physical risks. This includes irreversible changes like higher sea level rise. Industry sectors are modeled with fixed shares. A simple transport model based on LDV categories, electric trains and an aggregate category HDV is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.
# o_1p5c;0;nash;EUR;load;;off;off;uncalibrated;off;0;off;RCP26_50;off;HowardNonCatastrophic;30;0;100;0;0;simple;complex;fixed_shares;0;1;;heatpumps;0.1;;1;;off;1.5;rcp20;9;globallyOptimal;560;diffCurvPhaseIn2Lin;netZero;;200;2045;3;2050;9;;;3;1.05;1;1;NDC;medOil;medGas;medCoal;1;2;1;2;SSP2;2;0;forcing_SSP2;SSP2;heat;2025;;h_ndc;SSP2-Base;o_1p5c: The Net Zero 2050 scenario assumes that ambitious climate policies are introduced immediately, giving at least a 50 percent chance of limiting global warming to below 1.5 K by the end of the century, with no or low overshoot of 1.5 K in earlier years. Stringent climate policies and innovation let net zero CO2 emissions to be reached around 2050. CDR is used to accelerate the decarbonisation but kept to the minimum possible and broadly in line with sustainable levels of bioenergy production. Physical risks are relatively low but transition risks are high. Industry sectors are modeled with fixed shares. A simple transport model based on LDV categories, electric trains and an aggregate category HDV is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.
# o_2c;0;nash;EUR;load;;off;off;uncalibrated;off;0;off;RCP26_50;off;HowardNonCatastrophic;30;0;100;0;0;simple;complex;fixed_shares;0;1;;heatpumps;0.1;;1;;off;1.5;rcp26;9;globallyOptimal;1050;diffCurvPhaseIn2Lin;none;;100;2080;3;2050;9;;;3;1.05;1;1;NDC;medOil;medGas;medCoal;1;2;1;2;SSP2;2;0;forcing_SSP2;SSP2;heat;2025;;h_ndc;SSP2-Base;o_2c: The Below 2 Degrees C scenario assumes that climate policies are introduced immediately and become gradually more stringent, giving a 67 percent chance of limiting global warming to below 2 K. Deployment of CDR is relatively low. Net-zero CO2 emissions are achieved after 2070. Physical and transition risks are both relatively low. Industry sectors are modeled with fixed shares. A simple transport model based on LDV categories, electric trains and an aggregate category HDV is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.
# d_delfrag;0;nash;EUR;load;;off;off;uncalibrated;off;0;off;RCP26_50;off;HowardNonCatastrophic;30;0;100;0;0;simple;complex;fixed_shares;0;1;;heatpumps;0.1;;1;GLO 0.00125, CAZ_regi 0.0045, CHA_regi 0.004, EUR_regi 0.0045, IND_regi 0.004, JPN_regi 0.002, USA_regi 0.002;off;1.5;rcp26;9;globallyOptimal;1010;diffCurvPhaseIn2Lin;netZero;;100;2080;3;2050;9;;;3;1.05;1;1;NDC;medOil;medGas;medCoal;1;2;1;2;SSP2;2;0;forcing_SSP2;SSP2;heat;2035;;h_cpol;SSP2-Base;d_delfrag: The Delayed Transition scenario assumes global annual emissions do not decrease until 2030. Strong policies are then needed to limit warming to below 2 K. The level of action differs across countries and regions based on currently implemented policies, leading to a fossil recovery out of the economic crisis brought about by COVID-19. The availability of CDR technologies is assumed to be low. Emissions exceed the carbon budget temporarily and decline more rapidly than in Well-below 2 K after 2030 to ensure a 67 percent chance of limiting global warming to below 2 K. This leads to considerable transition and physical risks. Industry sectors are modeled with fixed shares. A simple transport model based on LDV categories, electric trains and an aggregate category HDV is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.
# d_rap;0;nash;EUR;load;;off;off;uncalibrated;off;0;off;RCP26_50;off;HowardNonCatastrophic;30;0;100;0;0;simple;complex;fixed_shares;0;1;;heatpumps;0.1;GLO.trans 2, GLO.build 2;2;;off;1.5;rcp20;9;globallyOptimal;560;diffCurvPhaseIn2Lin;none;;200;2045;3;2050;9;;;3;1.05;1;1;NDC;medOil;medGas;medCoal;1;2;1;2;SSP2;2;0;forcing_SSP2;SSP2;heat;2025;;h_ndc;SSP2-Base;d_rap: The Divergent Net Zero scenario reaches net-zero by 2050 but with higher costs due to divergent policies introduced across sectors and a quicker phase out of fossil fuels. Climate policies are more stringent in the transportation and buildings sectors. This mimics a situation where the failure to coordinate policy stringency across sectors results in a high burden on consumers, while decarbonisation of energy supply and industry is less stringent. Emissions are in line with a climate goal giving at least a 50 percent chance of limiting global warming to below 1.5 K by the end of the century, with no or low overshoot of 1.5 K in earlier years. This leads to considerably high transition risks but rather low physical risks. Industry sectors are modeled with fixed shares. A simple transport model based on LDV categories, electric trains and an aggregate category HDV is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.
# ___ND_Industry only___;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# h_ndc_bIt;0;nash;USA;load;;off;off;uncalibrated;off;0;off;RCP26_50;off;HowardNonCatastrophic;30;0;100;0;0;simple;complex;subsectors;0;1;;none;0.1;;1;;off;1.5;rcp45;3;globallyOptimal;0;NDC;none;;1;2100;3;2050;9;;;3;1.05;1;1;NDC;medOil;medGas;medCoal;1;2;1;3;SSP2;2;0;forcing_SSP2;SSP2;heat;2015;;SSP2-Base_bIt;SSP2-Base_bIt;h_ndc_bIt: The Nationally Determined Contributions (NDCs) scenario includes all pledged policies even if not yet implemented. It assumes that the moderate and heterogeneous climate ambition reflected in the NDCs at the begining of 2021 continues over the 21st century (low transition risks). Emissions decline but lead nonetheless to about 2.5 K of warming associated with moderate to severe physical risks. Transition risks are relatively low. Industry sectors are modeled explicitly with individual CES nests for cement, chemicals, steel, and other production. A simple transport model based on LDV categories, electric trains and an aggregate category HDV is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.
# h_cpol_bIt;0;nash;EUR;load;;off;off;uncalibrated;off;0;off;RCP26_50;off;HowardNonCatastrophic;30;0;100;0;0;simple;complex;subsectors;0;1;;none;0.1;;1;;off;1.5;rcp45;3;off;0;NPi2018;none;;1;2100;3;2050;9;;;3;1.05;1;1;NPi2018;medOil;medGas;medCoal;1;2;1;3;SSP2;2;0;forcing_SSP2;SSP2;heat;2025;;h_ndc_bIt;SSP2-Base_bIt;h_cpol_bIt: The Current Policies scenario assumes that only currently implemented policies are preserved, leading to high physical risks. Emissions grow until 2080 leading to about 3 K of warming and severe physical risks. This includes irreversible changes like higher sea level rise. Industry sectors are modeled explicitly with individual CES nests for cement, chemicals, steel, and other production. A simple transport model based on LDV categories, electric trains and an aggregate category HDV is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.
# o_1p5c_bIt;0;nash;EUR;load;;off;off;uncalibrated;off;0;off;RCP26_50;off;HowardNonCatastrophic;30;0;100;0;0;simple;complex;subsectors;0;1;;heatpumps;0.1;;1;;off;1.5;rcp20;9;globallyOptimal;560;diffCurvPhaseIn2Lin;netZero;;200;2045;3;2050;9;;;3;1.05;1;1;NDC;medOil;medGas;medCoal;1;2;1;2;SSP2;2;0;forcing_SSP2;SSP2;heat;2025;;h_ndc_bIt;SSP2-Base_bIt;o_1p5c_bIt: The Net Zero 2050 scenario assumes that ambitious climate policies are introduced immediately, giving at least a 50 percent chance of limiting global warming to below 1.5 K by the end of the century, with no or low overshoot of 1.5 K in earlier years. Stringent climate policies and innovation let net zero CO2 emissions to be reached around 2050. CDR is used to accelerate the decarbonisation but kept to the minimum possible and broadly in line with sustainable levels of bioenergy production. Physical risks are relatively low but transition risks are high. Industry sectors are modeled explicitly with individual CES nests for cement, chemicals, steel, and other production. A simple transport model based on LDV categories, electric trains and an aggregate category HDV is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.
# o_2c_bIt;0;nash;EUR;load;;off;off;uncalibrated;off;0;off;RCP26_50;off;HowardNonCatastrophic;30;0;100;0;0;simple;complex;subsectors;0;1;;heatpumps;0.1;;1;;off;1.5;rcp26;9;globallyOptimal;1050;diffCurvPhaseIn2Lin;none;;100;2080;3;2050;9;;;3;1.05;1;1;NDC;medOil;medGas;medCoal;1;2;1;2;SSP2;2;0;forcing_SSP2;SSP2;heat;2025;;h_ndc_bIt;SSP2-Base_bIt;o_2c_bIt: The Below 2 Degrees C scenario assumes that climate policies are introduced immediately and become gradually more stringent, giving a 67 percent chance of limiting global warming to below 2 K. Deployment of CDR is relatively low. Net-zero CO2 emissions are achieved after 2070. Physical and transition risks are both relatively low. Industry sectors are modeled explicitly with individual CES nests for cement, chemicals, steel, and other production. A simple transport model based on LDV categories, electric trains and an aggregate category HDV is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.
# d_delfrag_bIt;0;nash;EUR;load;;off;off;uncalibrated;off;0;off;RCP26_50;off;HowardNonCatastrophic;30;0;100;0;0;simple;complex;subsectors;0;1;;heatpumps;0.1;;1;GLO 0.00125, CAZ_regi 0.0045, CHA_regi 0.004, EUR_regi 0.0045, IND_regi 0.004, JPN_regi 0.002, USA_regi 0.002;off;1.5;rcp26;9;globallyOptimal;1010;diffCurvPhaseIn2Lin;netZero;;100;2080;3;2050;9;;;3;1.05;1;1;NDC;medOil;medGas;medCoal;1;2;1;2;SSP2;2;0;forcing_SSP2;SSP2;heat;2035;;h_cpol_bIt;SSP2-Base_bIt;d_delfrag_bIt: The Delayed Transition scenario assumes global annual emissions do not decrease until 2030. Strong policies are then needed to limit warming to below 2 K. The level of action differs across countries and regions based on currently implemented policies, leading to a fossil recovery out of the economic crisis brought about by COVID-19. The availability of CDR technologies is assumed to be low. Emissions exceed the carbon budget temporarily and decline more rapidly than in Well-below 2 K after 2030 to ensure a 67 percent chance of limiting global warming to below 2 K. This leads to considerable transition and physical risks. Industry sectors are modeled explicitly with individual CES nests for cement, chemicals, steel, and other production. A simple transport model based on LDV categories, electric trains and an aggregate category HDV is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.
# d_rap_bIt;0;nash;EUR;load;;off;off;uncalibrated;off;0;off;RCP26_50;off;HowardNonCatastrophic;30;0;100;0;0;simple;complex;subsectors;0;1;;heatpumps;0.1;GLO.trans 2, GLO.build 2;2;;off;1.5;rcp20;9;globallyOptimal;560;diffCurvPhaseIn2Lin;none;;200;2045;3;2050;9;;;3;1.05;1;1;NDC;medOil;medGas;medCoal;1;2;1;2;SSP2;2;0;forcing_SSP2;SSP2;heat;2025;;h_ndc_bIt;SSP2-Base_bIt;d_rap_bIt: The Divergent Net Zero scenario reaches net-zero by 2050 but with higher costs due to divergent policies introduced across sectors and a quicker phase out of fossil fuels. Climate policies are more stringent in the transportation and buildings sectors. This mimics a situation where the failure to coordinate policy stringency across sectors results in a high burden on consumers, while decarbonisation of energy supply and industry is less stringent. Emissions are in line with a climate goal giving at least a 50 percent chance of limiting global warming to below 1.5 K by the end of the century, with no or low overshoot of 1.5 K in earlier years. This leads to considerably high transition risks but rather low physical risks. Industry sectors are modeled explicitly with individual CES nests for cement, chemicals, steel, and other production. A simple transport model based on LDV categories, electric trains and an aggregate category HDV is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.
# ___ND_Industry & Transport___;;;;;;;;;;;;;;;;;;;;;;;set to zero, was 11333333;was 0.25;;;;;;;;;evtl. set h_ndc to rcp37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
h_ndc_bIT;bIT;nash;USA;load;5;off;off;uncalibrated;off;0;off;RCP26_50;off;HowardNonCatastrophic;30;0;100;0;0;simple;edge_esm;subsectors;0;1;Mix3;none;0.01;;1;;off;1.5;rcp45;3;globallyOptimal;0;NDC;none;;1;2100;3;2050;9;;;3;1.05;1;1;NDC;medOil;medGas;medCoal;1;2;1;3;SSP2;2;0;forcing_SSP2;SSP2;heat;2015;;SSP2-Base_bIT;SSP2-Base_bIT;h_ndc_bIT: The Nationally Determined Contributions (NDCs) scenario includes all pledged policies even if not yet implemented. It assumes that the moderate and heterogeneous climate ambition reflected in the NDCs at the begining of 2021 continues over the 21st century (low transition risks). Emissions decline but lead nonetheless to about 2.5 K of warming associated with moderate to severe physical risks. Transition risks are relatively low. Industry sectors are modeled explicitly with individual CES nests for cement, chemicals, steel, and other production. The transport model EDGE-T with detailed modes/vehicles representation is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.
h_cpol_bIT;bIT;nash;EUR;load;5;off;off;uncalibrated;off;0;off;RCP26_50;off;HowardNonCatastrophic;30;0;100;0;0;simple;edge_esm;subsectors;0;1;Mix3;none;0.01;;1;;off;1.5;rcp45;3;off;0;NPi2018;none;;1;2100;3;2050;9;;;3;1.05;1;1;NPi2018;medOil;medGas;medCoal;1;2;1;3;SSP2;2;0;forcing_SSP2;SSP2;heat;2025;;h_ndc_bIT;SSP2-Base_bIT;h_cpol_bIT: The Current Policies scenario assumes that only currently implemented policies are preserved, leading to high physical risks. Emissions grow until 2080 leading to about 3 K of warming and severe physical risks. This includes irreversible changes like higher sea level rise. Industry sectors are modeled explicitly with individual CES nests for cement, chemicals, steel, and other production. The transport model EDGE-T with detailed modes/vehicles representation is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.
o_1p5c_bIT;bIT;nash;EUR;load;5;off;off;uncalibrated;off;0;off;RCP26_50;off;HowardNonCatastrophic;30;0;100;0;0;simple;edge_esm;subsectors;0;1;Mix4;heatpumps;0.01;;1;;off;1.5;rcp20;9;globallyOptimal;560;diffCurvPhaseIn2Lin;netZero;;200;2045;3;2050;9;;;3;1.05;1;1;NDC;medOil;medGas;medCoal;1;2;1;2;SSP2;2;0;forcing_SSP2;SSP2;heat;2025;;h_ndc_bIT;SSP2-Base_bIT;o_1p5c_bIT: The Net Zero 2050 scenario assumes that ambitious climate policies are introduced immediately, giving at least a 50 percent chance of limiting global warming to below 1.5 K by the end of the century, with no or low overshoot of 1.5 K in earlier years. Stringent climate policies and innovation let net zero CO2 emissions to be reached around 2050. CDR is used to accelerate the decarbonisation but kept to the minimum possible and broadly in line with sustainable levels of bioenergy production. Physical risks are relatively low but transition risks are high. Industry sectors are modeled explicitly with individual CES nests for cement, chemicals, steel, and other production. The transport model EDGE-T with detailed modes/vehicles representation is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.
